Gardien_de_but,%_Arrêts,Jeux_blancs,Pays
Ronwen Williams,90.9,5,Afrique du Sud
Anthony Mandrea,77.8,0,Algerie
Neblú,72.7,2,Angola
Dominique,80,1,Angola
Hervé Koffi,66.7,1,Burkina Faso
Fabrice Ondoa,61.5,0,Cameroun
André Onana,0,0,Cameroun
Vozinha,81.3,3,Cap-Vert
Yahia Fofana,66.7,2,Côte d'Ivoire
Lionel Mpasi,72.7,1,Congo
Dimitry Bertaud,100,1,Congo
Mohamed El-Shenawy,25,0,Égypte
Gabaski,0,0,Égypte
Baboucarr Gaye,50,0,Gambie
Richard Ofori,61.5,0,Ghana
Ibrahim Koné,16.7,2,Guinée
Ouparine Djoco,40,0,Guinée-Bissau
Jonas Mendes,50,0,Guinée-Bissau
Jesús Owono,76.5,1,Guinée Équatoriale
Djigui Diarra,78.6,2,Mali
Yassine Bounou,57.1,2,Maroc
Babacar Niasse,83.3,1,Mauritanie
Ernani,55.6,0,Mozambique
Ivane,100,0,Mozambique
Loydt Kazapua,64.7,2,Namibie
Stanley Nwabili,86.4,4,Nigeria
Francis Uzoho,-,1,Nigeria
Edouard Mendy,85.7,2,Sénégal
Aishi Manula,71.4,1,Tanzanie
Bechir Ben Said,71.4,1,Tunisie
Lawrence Mulenga,78.6,0,Zambie
